B3TFG2	25,139,60,63
A0R5T1	103,231,105,106,234,140,109,142,182
P00811	33,202,37,245
A0A0F7VBC6	305,308
Q9I0B9	64,66
P61224	17,35
Q13490	326,333,306,309
Q9R1E6	739,741,358,359,743,745,746,171,747,209,311,474,315
A0A059ZPP5	208,323,213,202
P62136	64,96,66,173,92,272,248,124,125
Q8N6T7	166,141,144,177
P62575	398,399,400,401,375,412
A0A418LHZ8	145,55,90
A0R5R2	51,86,141
A0A140HJ20	643,291,647,267,269,367,592,593,371,372,376,286,287
P24300	257,287,181,245,247,217,220,255
A0A2P1GNT2	324,293,294,295,297,344,345
A0A369R1N0	325,327,186,235,237,188,179,122,124
G8T6H8	165,166,139
F2TZN0	456,491,492,605
P02794	128,129,132,133,135,10,11,12,13,14,15,16,142,18,147,19,145,22,23,151,26,28,30,34,41,170,172,173,174,51,61,62,63,64,65,66,72,75,76,80,82,84,88,90,92,93,108,110,111,113,127
Q9XI75	176,178,235
P21802	644,630,631
P02866	197,91,171,173,175,177,243,245,182,250,187,94
Q16659	171,157
P29068	389,390,199,202,148,149,154,155,157,159,287,167,103,105,170,107,302,112
Q96KQ7	1027,1115,974,976,1168,1170,980,1175,1017,987,985,1021,1023
O95639	162,132,166,138,142,156,148,124
E1AQY1	81,2,83,4,67
O00408	808,660,727,696,697
P33590	516,517,392,297,330,393,394,363,312,313,187
Q50KB2	329,331,443,348,351
P0DTC1	1752,1755,1789,1787
A0A286S0G7	176,97,99,215,157,95
Q9NXA8	166,169,207,212
B9LW38	153,107,156,151
P02872	160,144,146,148,150,155
Q9L069	467,443,445,446,463
P71447	10,8,169,170
P12821	992,418,390,394,460,1016,988,383
P09528	66,170,28,174,63
Q9HCE5	336,332,157
Q96SD1	256,33,35,228,37,38,136,272,115,254
P28720	320,323,349,318
Q9KLZ6	68,69,55,121
A0A218QMM7	118,120,185
A0A0S4TKQ5	273,36
Q93P54	64,65,67,137,334,335,84,278,280,287,31,292,484,296,504,505,122
A0A0F7UZ05	17,19,21,15
B9PZ33	16,18,20,22
A0A0A7HR51	113,265
P04278	81,189,79
C5A3Z3	356,357,408,222
P9WKK7	276,308,279
Q86SQ9	34,38
Q8IFW4	88,105
P08799	655,656,179,180,181,183,184,185,186,125,126,127
Q15181	116,119,102,118,120,121
P93836	226,308,394
A0QUZ2	65,101,85,127
Q5S007	1409,1441,1410,1442,1413,1415,1338
Q09LZ6	57,11,59
P0A746	98,46,49,95
O43570	145,119,121
I3P686	161,194,104,200,202,235,204,181,182,183
P05164	334,335,336,338,340
O59952	66,67,69,103,107,79,84,55
Q86WT6	64,41,44,78,81,56,58,61
P39230	96,97,94
Q4WQ18	178,119,175
Q9KM24	251,238,254
Q04430	101,102
Q9NP87	418,330,332
P14618	296,75,77,270,272,113,114,243,244,83,86,56
P27988	417,328,331,412,414
Q9BYC5	388,389,491
A4F980	209,242,132,101,135,205,239
V7II86	314,491,365
Q9CPU0	34,100,173,127
S8G5K8	919,835,839,858
A0A0K8P8E7	304,307,309,311,313
P61006	64,22,38,40,63
Q6NZB1	167
U2NM08	50,147,155
W0FBY3	140,132,30
Q9I5E2	60,87
P00533	745,842,721,722,723,724,855,858
P33763	64,1,66,3,4,5,70,71,74,11,15,20,23,24,25,28,33,41,59,60,61,62
P12689	548,549,550,551,518,553,362,363,554,525,465,467,468
Q9H082	65,63,47
Q86Y01	449,452,446,468,471,411,444,414
P25321	185,172
A0A0F6NGI2	500,501,503,506,508
Q32904	83,85
P27353	140,144,209,114,243,147,246
B8QIQ9	240,114,179,116,198,118
B2UR60	205,209,308,309,311,215,316,317,319
B1KYY8	111,115,85,182,118,216,186,219
Q941L3	388,421,390,392
A0A0R6L508	465,466,246,285
A0A173N065	174,118,183,217
P0DKX7	1539,1540,1413,1414,1415,1541,1417,1543,1547,1548,1549,1550,1422,1552,1423,1424,1426,1556,1557,1430,1431,1432,1433,1558,1435,1559,1565,1566,1567,1568,1561,1570,1440,1441,1444,1574,1575,1448,1449,1450,1451,1576,1453,1577,1583,1584,1585,1586,1579,1588,1457,1458,1459,1462,1460,1596,1470,1599,1473,1603,1605,1606,1477,1439,1609,1478,1479,1482,1480,1442,1523,1652,1525,1654,1530,1531,1532,1534
I4E596	270,273,250,253
Q9H165	802,772,805,775,744,747,783,792,818,786,788,823,760,764
P0ABE7	34,99,38,41,43,47,23,24,26,27,61,30,95
A0A223GEC9	101,23,191
A0A0S2GKZ1	97,20,183
D0CD18	27,33,11,14
Q04111	437,438,412,477
Q8K299	416,417,482,419,454,455,422,456,457,458,477,478,415
Q6ZMJ2	481,482,419,420,421,486,423,426,458,460,461,459
P81947	39,71,41,11,44,45,47,49,50,55,61
A0A068C8U8	19,37
Q96L73	1920,1925,2023,1895,1897,1931,1905,2003,2070,1911,2072,1978,2077
H9JH18	19,21,23,25,30
Q4J989	20,205,207
O76074	617,682,764,653,654
D2Z025	198,200,107,235,77,109,111,110,113,86
B7UCZ5	225,66,258,255,261,204,205,206,209,210,243,244,53,55,254,63
Q9Y3Z3	164,167,233,206,207,210,311
P62993	152,79
F8W4B7	705,323,612,230,614,232
Q86UW9	450,453,415,469,472,412,445,447
P29166	40,42
A0A179QS89	69,38,154,72,8,9,11,151,122
Q8C6L5	384,385,288,291,392,378
P07528	64,376,357,360,393,363,396,334,344,347,348,318
P77990	37,39,150,59,60
A0A2E2GL08	32,24,26,92
Q9NZK7	48,49,66,45,47
Q86V24	352,202,348
A0A024B7W1	3234,3369,2959,3250,2963,2968,2971
A0A160T9D2	205,207,208,179,181
D0VWU9	404,311,315,141,542,143
P00644	103,117,122,123,125
B4EUK6	117,72,74
P01111	35,17,18,21,22,27,28,29
P00327	98,68,101,104,47,112,175
E7E2M2	97,98,259,260,138,140,301,303,304,305,143,144
Q04M32	195,191
A0A0C2W6A5	84,54,87
O08600	164,136,169,137,138,141,177
Q72HW2	97,450,133,135,455,393,137,396,398,444,445,446
P16952	648,650,664
G0S3F2	130,391,135,79
P43215	114,126
P36871	288,290,292,293,117
P84095	17,35
G7JFU5	266,268,181,183,185,157
P46637	161,270,272,185,186,187,189
A4Q9E8	359,264,361,241,178,179,346,125
Q9H7Z6	226,230,210,213
A0A3Q0L1E1	360,393,395
Q5NQE9	116,212,214,118,120,92
G2EBB4	252,254
P11444	195,247,297,221
E9QYP0	136,138
G2R014	288,545,289,392,492,493,339,565,341,285
Q8IM71	305,307,293
O15178	186,167
A0A135VHY8	66,2,68,137,138,144,147,19,26,27,95,96,160,172,175,176,49,177,179,116,61
A0A135VDL7	96,160,66,67,68,137,138,172,175,49,177,179,116,26,27,61,95
X6Q997	248,184,265,136
B6K6D6	128,130,131,199,201,202,206,146,147,148,149,151,153,218,219,220,156,93,94,98,99,102,123,183,184,186,187,125
Q8IUN9	267,269,270,206,210,215,280,281,218,216,220,224,292,293,305,243,251
Q9NV35	67,63
Q9H993	291,253,254
Q1LCS4	128,162,165,110,51,57,125,95
P47811	354,356,359,168,174,150,313,155
P02766	86,119
Q05397	937,956
Q96DA2	40,22
P57729	41,23
P96787	48,240,46
A9H324	275,276,277,300,279,280,204
P03366	1042,1077,1097,1148
Q3V872	160,260
P60624	68,69
Q6B856	177,11
G0SC54	280,185,283,188
F5SWR8	112,113,97,99,94,111
Q6ZJK7	408,411
Q9BPX6	432,421,423,425,427
Q8IYU8	196,185,187,189,191
Q972K4	114,86,90
B0VCI2	100,103
P0AC84	165,110,53,55,57,58,127
P9WIC7	15
P12955	289,452,241,370,276,410,412,287
A5U6B6	34,36,38,90
P9WNX1	36,40,92,110,159
A8WBX8	323,325,296,232,234,339,221,190
P68400	161,175
P9WFX1	297,434
Q88JH0	305,306,188,190
O43809	149,88,171,76,93
H9UEF1	64,120,117,62
Q97KK2	482,515,484,517,486,519,488,521,493,526
P0A8W0	176,172,244,222
Q24451	267,1073,534,153,155,1085
Q9NWT6	201,279,199
B7GTV0	288,258,386,356,331,207,272,209,210,276,181,281,124,382
Q6L732	132,134,219
F0NDX2	512,515,650,651,206,207,464,210,467,885
P27302	185,155,187
P21816	86,88,140,93
D3ZKP6	409,426,405,430
A0A128A3G4	289,172,467,126,222
I1RDR8	224,225,98,226,227,165,209,213,216,217,94
K7CID1	647,210,666,475,669,798,799,736,801,738,672,804,740,742,359,360,743,744,568,172,312,316
Q9L2C2	134,7,84,60
D0MGT2	50,54,23,22
A2ENQ8	96,99,37
A0A024B5J2	241,54,313,238
A0A0E3ZCF3	208,193,211,39,282,191
P22234	97,137
A0A142J6I6	161,293,294,282,79
Q75I93	96,93
P40993	64,109,61,63
P0AEG4	20,23
Q8CIB9	408,386,404,389
L0I969	88,85
Q12791	1018,1012,1020,1015
P00722	417,162,419,194,164,462,16,19,22
Q96DE0	169,99,173
Q4LAV3	49,50,51,53
Q9SS90	258,133,205,207,209,338,339,211,347,156,349,350,286,288,164,166,378
Q97ZJ8	615,618,602,605
A0A249T061	63,61,285,95
Q9RVZ5	322,326,345
Q8N884	390,396,397,404
P07328	32,37,38,39,40,204,45,205,429,433,29,30
P07329	353,258,259,357,108,109
Q95V93	265,188
Q9I6A3	290,234,235,237,273,279,251,286
Q9WZX9	288,234,250,294
B2FKF0	114,115,111
A0A0H3AJ04	128,45,179,95,215,158,159
M5AAG8	80,115,69,72,74,142,78
P61889	71,142,112,113,242
Q9NR30	339,340
O67206	161,514,451,454,519,456,118,120,508,509,510,159
P27695	96,68
C3RVQ0	164,280,169
C3RVP5	164,168,169,276,280,158
P29600	2,40,73,75,77,78,79
A6N5T2	339,291,292,454,457,459
N0DKS8	67,70,71,9,10,11,75,83,86,87,25,160,106,109,112,113,243,116,115,251,255
Q15382	20,38
A0A2Z6G7U6	64,66,70,139,140,141,119,153
A0A2Z6G7U3	65,67,122,71,139,140,118,120,154
Q81258	1129,1177,1131
O39929	1123,1171,1125
O91936	1176,1172,1124,1126
Q04609	387,453,425,553,266,269,272,273,433,436,377
P43166	96,121,98
B7GUI0	179,142
N0B9M5	258,163,261,263,298,299,301,307,115,116,312,153,158
Q9X1X0	180,216,58,92,93
P0A7F3	114,109,141,138
Q4E2I1	210,42,44
Q6NQ79	677,680,557,559,691,724,694,727,699,669,702,575
P02753	193,188
A0A1C3NEV1	464,283,244,463
Q6IQ55	146,163
Q15818	358,359,360,367,370,280
Q8TF76	563,467,477
P0C9C6	231,233,142,271,78,179,115,182,218
L7T0L4	41,74,76,46
P42212	209,132,56,25,58,57,143
L0FY79	240,180,117,119,121,199
A0A0U3H0V9	161,166,172,205,206,213,88,153,90,92
Q9KN86	297,378,301
O00311	353,196,360,363,182,351
Q9UBU7	296,299,309,315
A0A125W693	345,322,318,359
Q8YYB7	161,162,147,163,170,123
Q5LUB5	144,145,58,61
G0FQ07	114,118
A9GMG4	305,262,264
Q9NVW2	610,588,590,593,596,570,573,607
O13836	240,201,150,239
P02792	128,131
A0A1Z1F9L9	200,203,204,205,86,120,122,123
O32163	128,66,41,43
Q92832	453,454,456,457,434,435,437
Q4Q5S8	175,176,177,178,179,180
Q00987	452,457,461,464,438,441,475,478
Q7YRZ8	452,457,461,464,438,441,475,478
Q5XI77	256,257,261,211,212,213,214,215,409,411,412,413,417,366,369,370,371,253,255
Q5SHZ3	228,270,113,114,116,87,281,282,283,284,157
P05057	74,76
P05089	128,101,232,234,246,122,124,125,126
Q6DDT4	9,34
Q8WS26	161,165,230,313,317
Q9WZL1	210,181
P50213	257,261
P51553	117,311
P46881	592,433,431
A0A1E1GJG5	224,204,82,85,278,215,24,214,27,220,221,216
E5RPG3	2002,2004,2013
Q9BV73	2209,2212
O95989	65,50,51,66,52,70
P29476	331,326
P29475	336,331
P29474	369,99,365,94
P80366	352,194,162,228,229,313,350,191
P0DP23	65,130,68,132,134,136,141,21,23,25,27,29,94,32,96,98,100,105,57,59,61,63
Q14191	563,935,936,939,908,558
Q7LBC6	1560,1689,1562
Q9WZD0	49,42,45,39
A0A024FRL9	208,250,120,122,124,189
P31153	265,31
P41977	98,50,179,146,183
D9QA55	136,137,111
Q80J94	438,440,410,366,447
P65473	354,355,195
Q96EP0	986,930,898,901,998,871,969,874,1001,925,911,916,890,923,893,926
A0A1M2CSI6	208,250,120,122,189
Q9I311	692,694,743,744
B1MD73	166,168,169,170,74,75,77,111,112,113,48,149,153,90
P96202	2125,2126
B3EYM9	201,203,205,207,209
Q9I188	428,271,432,375,216,379,220
P75960	174,176,177,155,157,158
H6QM92	134,41,106,107,108,80,119,120
H6QM91	305,306,445,446
Q81TB4	96,161,195,165,198,93,62
P25098	368,360,361,363,348,366
Q86T24	512,544,516,552,555,524,527,496,499,568,540,573
Q9A180	1190,1192,1194,1196,1197,1198,908,910,912,914,1042,916,1043,1110,1017,1114,1019
Q08467	232,246
P0CT50	8,169,298
Q5KZU5	266,206,145,178,23,25
A0A0U1MWF9	386,579,644,581,580,647,360,652,655,532,380
A0A1S4CVP6	258,175,116,118
D2JIV0	135,105,138,139,108,112,25,60,63
Q9D4V7	66,20,38
A0A386KZ50	352,355,359,366,351
A0A161XU12	360,362,365,699,700
O43583	192,193,195,142,145,146,149,150,153,160,163,171,172,175,176,188,179,183,184,121,122,187,124,190,191
D2W2Z5	227,326,170,172,173,146,147,53,149,190
E1BF86	293,296,301,304
A0A109PTH9	228,230,329,330,332,334,218
P22963	34,37,38,137,172,174,175,23,22,183,218
Q8KPT4	167,170,138,83,86,55
Q9H2K2	1089,1081,1084,1092
Q9X1H0	52,54,58,92
K4PWX3	176,97,99,215,157,95
P02879	137,279,281,141
Q8EAC7	231,201,202,250,251,252
G8B4G1	176,97,99,215,157,95
Q7WYA8	176,97,99,215,157,95
B2VCC3	52,54,56,140,141
Q8NB16	33,19,71,104,15
P00396	240,368,290,291,369
P00428	113,116,91,93
A0A3S7X3C0	180,243,244,143
E9BLM4	226,227,180,124,125,143
Q9D8Q7	135,137,141,157,158
L8AXY8	98,99,100,101,8,72,200,43,12,44,14,146,116,186,94,95
Q99828	161,163,165,167,172,116,118,120,122,127
A0Q7V5	57,11,12,55
P0ACD8	528,582,57
Q8IEK1	496,500,519
Q8YVV8	52,54
Q96AE4	304,337,341,334
O60232	70,73,53,56
Q5AR53	242,244,319
Q9BYF1	402,374,378
P37659	378,243,278,442,443,381,383
D0L035	116,88,92
Q9F4D5	194,675,676,707,678,424,425,426,111,113,638
Q56307	513,584,586,511,575
Q9UGM3	128,130,1026,135,1058,1059,1060,1061,169,1081,1082,1019,1020,1021,1086,1023
A3DC31	203,205,274,277,278,282,283
P00441	64,72,47,81,49,84,121
Q9NZ08	353,357,376
Q2U8Y3	129,66,137,171,270,143,47,241,82,175,84,148,150,279,120,61,127
A0A062V290	35,71
P31327	362,335,337,315
D9N168	356,533,357
C4LXK0	9,169,7
Q9BYW2	1533,1539,1516,1678,1520,1680,1685,1529,1499,1501,1631
Q8R0F8	105,74,76,21,22,26,126
Q05086	800,799
P17562	17,273,279,253
P76038	141,206,181,183,157
P43860	250,108,253,254
Q939N5	490,427,428,494,399,401
F0FS71	257,259,357,361,284,285
P68135	288,290,68,70,39,265,267
A0QR77	9,10,107,108,152,159
E5KIY2	122,208,124,152,250,120,189,223
P9WK11	469,471,440
Q5KW80	129,130,98,69,102,167,105,202,205
P29082	114,37,86,88,90
Q63SB3	37,39,216
P39900	192,194,196,198,199,201,218,158,222,228,168,170,175,176,178,180,183,124,190,191
Q9WYT9	53,55,9,10
P0A031	200,107,108,109,110,203,204,208,209,20,21
Q63870	1168,1061,1065,1131,1132
P04637	238,176,242,179
Q13936	1659
A0A094ZWQ2	185,189
P50477	362,363,396,364,399,400,401,115,308,309,310,311,116,150,157,155,156,152
G0SFF0	57,77
Q58M74	97,66,2,68,72,41,78,48,20,27,31
Q0QC76	160,74,93,95
Q84EX5	38,39,40,168,43,16,240,123,124
P00431	127
Q93HL2	194,54,38,216,190,63
A0A098SKQ8	145,149,55,103
P68826	65,154,158,111
Q25704	99,648,42,46,47,208,689,210,692,185,188
P43873	288,290,276
M1GSK9	65,97,257,100,290,287
A0A2K0XYW4	166,168,173,156
J9XNG9	675,868,677,678,903,871,869,650,904,684,653,686,909,693,663,696,668,671
P56547	45,46,112,117,121
Q8WQX9	673,709,710,822
Q14980	120,123,13,119
P04632	193,137,152,154,247,156,158,225,163,227,228,109,112,114,115,116,182,119,184,249,186,251,188,253
P16218	742,814,752,689,786,690,788,691,790,663,792,665
G0SEG4	418,419,327
Q8A2H2	83,332,43,44,333
Q8TZW1	32,161,64,200,303,24,280,281,26,286,63
P0A776	53,37,38,120,57,39
P48735	314,318
Q10471	224,226,359
Q6B0I6	238,244,310,312
Q13185	130,131,132,133,135,137
Q8ZM86	98,101,7,8,9,120
P02787	225,139,536,411,604,445
P38108	32,35
Q5JHF1	40,94
Q9H9S5	416,289,296,360,362,364,345,346,317,318
A7NNM5	76,141,77,146,151
Q8PGN7	241,243,239
P05058	50,52,74,76
A0A2N7KUA1	35,291,296,488,300,141,338,339,88
M2XAQ9	16,50,15
Q0I9X8	33,66,69,40,110,143,113
Q9QY93	66,98,63,95
P84138	142,80,242,245,182,183,125
Q9P8C9	297,233,299,269,272,340,308,310
Q9UL01	481,452,470,471
Q8GXJ1	404,313,315
P05361	212,199,201
P19812	160,136,139,175,177,148,189,118,151,123,157
A0A452E9Y6	305,227,307,301,303
F4KCC2	134,137,170,172,155,146,149,184,121,187,158
W8QLX4	1810,1811,1836,1838
P68871	97,43
Q8IXJ6	224,195,200,221
P43408	17,140
V5VCK8	160,162
O50271	448,481,53,501,519,40,395,446
Q44384	67,313,37,295,40,296,330,331,332,235,238,237,240,241,314,216,217,218,221
Q48484	386,388,540
Q15848	193,194,195,187,188
Q8WWA0	97,98,260,133,262,274,86,87,89,282,92
G0S1N3	456,378,451,459
Q9FD68	106,191
C6XF58	58,266,125,191
Q8YSJ5	65,35,68,163,133,166,199,201,56,60
X2D812	64,68,107,62
Q9FG77	326,328,298,303
A0A1J6PWI8	168,249,172
P9WPQ5	16,49,37,108,15
Q57514	50,52,74,76
P35828	257,259,771,264,265,266,268,783,785,280,793,282,795,285,797,799,288,289,290,291,292,294,297,298,559,562,314,315,317,320,322,586,864,865,866,868,873,876,878,882,883,884,885,887,634,636,893,638,892,896,900,901,902,903,905,651,652,653,654,908,656,910,928,673,674,675,676,933,678,931,689,690,691,692,695,697,698,699,966,967,968,716,717,990,992,993,994,484,485,491,757,758,759,762,255
Q8IXL7	135,138,86,89
Q06210	473,474,476
Q6GHN9	2
A0A022MRT4	261,294,263,281,238,78,240,81,79,147,308,148,310,87,248,149,282,283,120,254
A0A022MQ12	75,77,205,245,246,345,253
Q7N4I5	115,26,188
K7SA42	195,112,176,114
Q2N9N3	256,259,164,167,200,112,114,242,116,181,88,91
C6KFA3	89,97,134,136,137,138
A0QTY3	152,121,123
P42981	113,12,15
L0N6M2	486,441,443
A0A024L327	256,247
P37793	97,104,172,175,80,82,84,153,156
Q2PAJ1	547,548,485,549,550,488,553,490,138,140,558,93,95
Q94707	192,193,331,267,368,371,308,309,215,218,283,221
Q3UPF5	96,162,168,73,106,172,110,78,174,82,86,150,88,182,187,191
P06396	304,354,329,330
A5K1A2	165,169,170,171,172,173,174
P00959	162,146,149,159
Q92841	385,132,263,398,399,208,465,209,210,351,223,484,485,231,234,235,179,372,373,381,383
Q9UKK9	96,97,166,111,112,82,115,116
Q9SXZ2	81,141
Q5I3C1	3202,3204,3337,2927,3218,2931,2936,2939
V5TER4	224,103,106,45,47
P33755	137,139,204,208,145,148,216,219
A0A068PS59	737,739,882,764,767
O95251	384,388,368,371
P15498	546,516,549,554,557,529,532,564
D7Y2H5	104,73,105
P11802	48,145,47,42,138,156,157,158,159
H0ZAB5	275,277,413
A0A0S4IKF4	580,644,647,584,620,623,628,660,631,664,601,604
D7Y2H2	72,74
C6XID6	199,241,180,116,118,120
A0A380UY17	65,15,58,60,61,62,63
Q6P179	370,374,393
A6T6Z0	355,389,358,328,362,239,336,342
D0VMS8	384,385,386,131,388,267,268,397,269,271,404,410,414,299,301,302,304,186,190,66,68,196,70,72,74,341,343,348,349,350,352,357,358,359,361,365,366,367,368,370,374,375,376,377,379,383
Q8ZXN7	33,264,138,170,266,173,268,211,252,86,156,30
A0A0D5YK08	17,209,207
Q8DLC7	497,498,435,581,439,584,543
P05555	160,225,156,158
P84308	227,190
A0A1Y2HEJ3	96,136,92,93
A5H660	186,188,285
I3DBY6	233,151,152,153
P35816	481,418,516,485,392,361,362,494,144,145
D5VCE0	248,249
O07431	192,193,194,195,165,166,198,139
P18858	568,621,720
P08709	66,67,74,76,270,79,80,272,275,276,85,86,280,89,106,107,109,123,124,61,62
P0DP24	96,32,130,98,132,100,134,68,136,105,27,141,25,21,23,57,59,61,94,63
Q8N371	400,321,323
P54922	56,304,54,55
Q52ZA0	116,118,281
Q9HVA8	224,129,87,39,223
Q9K943	99,102,103,8,11,77
A0A1K2FZ20	179,243,215,253,218,285,255
Q9PPB4	200,230
E9AE57	468,471,216,219
